#fragment# 	+QK 
#noise# 	+hGH 
$ 	SIL 
135 	s j e n t o t rf eI n t a i s i ng k o 
1363 	m i l t rf e s j e n t o s s e s e n t a i t rf e s 
137 	s j e n t o t rf eI n t a i s j e t e 
138 	s j e n t o t rf eI n t a i o tS o 
13834 	t rf e s e m i l o tS o s j e n t o s t rf eI n t a i k w a t rf o 
14 	k a t o rf s e 
14000 	k a t o rf s e m i l 
142 	s j e n t o k w a rf e n t a i D o s 
145 	s j e n t o k w a rf e n t a i s i ng k o 
148 	s j e n t o k w a rf e n t a i o tS o 
1492 	m i l k w a t rf o s j e n t o s n o b e n t a i D o s 
15 	k i n s e 
150 	s j e n t o s i ng k w e n t a 
1500 	m i l k i n j e n t o s 
15000 	k i n s e m i l 
150000 	s j e n t o s i ng k w e n t a m i l 
153 	s j e n t o s i ng k w e n t a i t rf e s 
15322 	k i n s e m i l t rf e s j e n t o s b eI n t i D o s 
156 	s j e n t o s i ng k w e n t a i s eI s 
1578 	m i l k i n j e n t o s s e t e n t a i o tS o 
158 	s j e n t o s i ng k w e n t a i o tS o 
1594 	m i l k i n j e n t o s n o b e n t a i k w a t rf o 
16 	d j e s i s eI s 
160 	s j e n t o s e s e n t a 
1600 	m i l s eI s j e n t o s 
16000 	d j e s i s eI s m i l 
162 	s j e n t o s e s e n t a i D o s 
162360 	s j e n t o s e s e n t a i D o s m i l t rf e s j e n t o s s e s e n t a 
162500 	s j e n t o s e s e n t a i D o s m i l k i n j e n t o s 
164 	s j e n t o s e s e n t a i k w a t rf o 
164000 	s j e n t o s e s e n t a i k w a t rf o m i l 
1643 	m i l s eI s j e n t o s k w a rf e n t a i t rf e s 
1650 	m i l s eI s j e n t o s s i ng k w e n t a 
16774 	d j e s i s eI s m i l s e t e s j e n t o s s e t e n t a i k w a t rf o 
169 	s j e n t o s e s e n t a i n w e b e 
17 	d j e s i s j e t e 
17000000 	d j e s i s j e t e m i L o n e s 
1701 	m i l s e t e s j e n t o s u n o 
175 	s j e n t o s e t e n t a i s i ng k o 
1762 	m i l s e t e s j e n t o s s e s e n t a i D o s 
18 	d j e s i o tS o 
1800 	m i l o tS o s j e n t o s 
18000 	d j e s i o tS o m i l 
181 	s j e n t o o tS e n t a i u n o 
1811 	m i l o tS o s j e n t o s o n s e 
1812 	m i l o tS o s j e n t o s D o s e 
1827 	m i l o tS o s j e n t o s b eI n t i s j e t e 
184 	s j e n t o o tS e n t a i k w a t rf o 
187 	s j e n t o o tS e n t a i s j e t e 
1874 	m i l o tS o s j e n t o s s e t e n t a i k w a t rf o 
1886 	m i l o tS o s j e n t o s o tS e n t a i s eI s 
1888 	m i l o tS o s j e n t o s o tS e n t a i o tS o 
1890 	m i l o tS o s j e n t o s n o b e n t a 
1896 	m i l o tS o s j e n t o s n o b e n t a i s eI s 
19 	d j e s i n w e b e 
1900 	m i l n o b e s j e n t o s 
19000 	d j e s i n w e b e m i l 
1904 	m i l n o b e s j e n t o s k w a t rf o 
1905 	m i l n o b e s j e n t o s s i ng k o 
1916 	m i l n o b e s j e n t o s D j e s i s eI s 
1920 	m i l n o b e s j e n t o s b eI n t e 
1930 	m i l n o b e s j e n t o s t rf eI n t a 
1932 	m i l n o b e s j e n t o s t rf eI n t a i D o s 
1933 	m i l n o b e s j e n t o s t rf eI n t a i t rf e s 
1939 	m i l n o b e s j e n t o s t rf eI n t a i n w e b e 
1940 	m i l n o b e s j e n t o s k w a rf e n t a 
1941 	m i l n o b e s j e n t o s k w a rf e n t a i u n o 
1942 	m i l n o b e s j e n t o s k w a rf e n t a i D o s 
1943 	m i l n o b e s j e n t o s k w a rf e n t a i t rf e s 
1944 	m i l n o b e s j e n t o s k w a rf e n t a i k w a t rf o 
1945 	m i l n o b e s j e n t o s k w a rf e n t a i s i ng k o 
1946 	m i l n o b e s j e n t o s k w a rf e n t a i s eI s 
1949 	m i l n o b e s j e n t o s k w a rf e n t a i n w e b e 
1950 	m i l n o b e s j e n t o s s i ng k w e n t a 
1953 	m i l n o b e s j e n t o s s i ng k w e n t a i t rf e s 
1954 	m i l n o b e s j e n t o s s i ng k w e n t a i k w a t rf o 
1958 	m i l n o b e s j e n t o s s i ng k w e n t a i o tS o 
196 	s j e n t o n o b e n t a i s eI s 
1960 	m i l n o b e s j e n t o s s e s e n t a 
1962 	m i l n o b e s j e n t o s s e s e n t a i D o s 
1963 	m i l n o b e s j e n t o s s e s e n t a i t rf e s 
1964 	m i l n o b e s j e n t o s s e s e n t a i k w a t rf o 
1967 	m i l n o b e s j e n t o s s e s e n t a i s j e t e 
1969 	m i l n o b e s j e n t o s s e s e n t a i n w e b e 
1970 	m i l n o b e s j e n t o s s e t e n t a 
1971 	m i l n o b e s j e n t o s s e t e n t a i u n o 
1973 	m i l n o b e s j e n t o s s e t e n t a i t rf e s 
1974 	m i l n o b e s j e n t o s s e t e n t a i k w a t rf o 
1976 	m i l n o b e s j e n t o s s e t e n t a i s eI s 
1977 	m i l n o b e s j e n t o s s e t e n t a i s j e t e 
1978 	m i l n o b e s j e n t o s s e t e n t a i o tS o 
1979 	m i l n o b e s j e n t o s s e t e n t a i n w e b e 
1980 	m i l n o b e s j e n t o s o tS e n t a 
1981 	m i l n o b e s j e n t o s o tS e n t a i u n o 
1982 	m i l n o b e s j e n t o s o tS e n t a i D o s 
1983 	m i l n o b e s j e n t o s o tS e n t a i t rf e s 
1984 	m i l n o b e s j e n t o s o tS e n t a i k w a t rf o 
1985 	m i l n o b e s j e n t o s o tS e n t a i s i ng k o 
1986 	m i l n o b e s j e n t o s o tS e n t a i s eI s 
1987 	m i l n o b e s j e n t o s o tS e n t a i s j e t e 
1988 	m i l n o b e s j e n t o s o tS e n t a i o tS o 
1989 	m i l n o b e s j e n t o s o tS e n t a i n w e b e 
1990 	m i l n o b e s j e n t o s n o b e n t a 
1991 	m i l n o b e s j e n t o s n o b e n t a i u n o 
1992 	m i l n o b e s j e n t o s n o b e n t a i D o s 
1993 	m i l n o b e s j e n t o s n o b e n t a i t rf e s 
1994 	m i l n o b e s j e n t o s n o b e n t a i k w a t rf o 
1995 	m i l n o b e s j e n t o s n o b e n t a i s i ng k o 
1996 	m i l n o b e s j e n t o s n o b e n t a i s eI s 
1997 	m i l n o b e s j e n t o s n o b e n t a i s j e t e 
1998 	m i l n o b e s j e n t o s n o b e n t a i o tS o 
1999 	m i l n o b e s j e n t o s n o b e n t a i n w e b e 
2 	d o s 
20 	b eI n t e 
200 	d o s j e n t o s 
2000 	d o s m i l 
20000 	b eI n t e m i l 
200000 	d o s j e n t o s m i l 
2002 	d o s m i l D o s 
2003 	d o s m i l t rf e s 
2005 	d o s m i l s i ng k o 
2007 	d o s m i l s j e t e 
20073 	b eI n t e m i l s e t e n t a i t rf e s 
2010 	d o s m i l D j e s 
2010 	d o s m i l D j e s 
20185 	b eI n t e m i l s j e n t o o tS e n t a i s i ng k o 
21 	b eI n t i u n o 
210 	d o s j e n t o s D j e s 
2100 	d o s m i l s j e ng 
22 	b eI n t i D o s 
221000 	d o s j e n t o s b eI n t i u n m i l 
222 	d o s j e n t o s b eI n t i D o s 
228 	d o s j e n t o s b eI n t i o tS o 
23 	b eI n t i t rf e s 
23000 	b eI n t i t rf e s m i l 
235 	d o s j e n t o s t rf eI n t a i s i ng k o 
24 	b eI n t i k w a t rf o 
2400 	d o s m i l k w a t rf o s j e n t o s 
24000 	b eI n t i k w a t rf o m i l 
2400000 	d o s m i L o n e s k w a t rf o s j e n t o s m i l 
243 	d o s j e n t o s k w a rf e n t a i t rf e s 
249 	d o s j e n t o s k w a rf e n t a i n w e b e 
25 	b eI n t i s i ng k o 
250 	d o s j e n t o s s i ng k w e n t a 
25000 	b eI n t i s i ng k o m i l 
2510 	d o s m i l k i n j e n t o s D j e s 
252 	d o s j e n t o s s i ng k w e n t a i D o s 
2559 	d o s m i l k i n j e n t o s s i ng k w e n t a i n w e b e 
26 	b eI n t i s eI s 
262 	d o s j e n t o s s e s e n t a i D o s 
262000 	d o s j e n t o s s e s e n t a i D o s m i l 
2649 	d o s m i l s eI s j e n t o s k w a rf e n t a i n w e b e 
27 	b eI n t i s j e t e 
2700 	d o s m i l s e t e s j e n t o s 
270000 	d o s j e n t o s s e t e n t a m i l 
278 	d o s j e n t o s s e t e n t a i o tS o 
279 	d o s j e n t o s s e t e n t a i n w e b e 
28 	b eI n t i o tS o 
280 	d o s j e n t o s o tS e n t a 
288 	d o s j e n t o s o tS e n t a i o tS o 
29 	b eI n t i n w e b e 
3 	t rf e s 
30 	t rf eI n t a 
300 	t rf e s j e n t o s 
3000 	t rf e s m i l 
30000 	t rf eI n t a m i l 
300000 	t rf e s j e n t o s m i l 
3043 	t rf e s m i l k w a rf e n t a i t rf e s 
3066069 	t rf e s m i L o n e s s e s e n t a i s eI s m i l s e s e n t a i n w e b e 
31 	t rf eI n t a i u n o 
310 	t rf e s j e n t o s D j e s 
315 	t rf e s j e n t o s k i n s e 
32 	t rf eI n t a i D o s 
33 	t rf eI n t a i t rf e s 
330 	t rf e s j e n t o s t rf eI n t a 
336 	t rf e s j e n t o s t rf eI n t a i s eI s 
3386 	t rf e s m i l t rf e s j e n t o s o tS e n t a i s eI s 
34 	t rf eI n t a i k w a t rf o 
3400 	t rf e s m i l k w a t rf o s j e n t o s 
3490 	t rf e s m i l k w a t rf o s j e n t o s n o b e n t a 
35 	t rf eI n t a i s i ng k o 
350 	t rf e s j e n t o s s i ng k w e n t a 
3500 	t rf e s m i l k i n j e n t o s 
35000 	t rf eI n t a i s i ng k o m i l 
355 	t rf e s j e n t o s s i ng k w e n t a i s i ng k o 
356 	t rf e s j e n t o s s i ng k w e n t a i s eI s 
36 	t rf eI n t a i s eI s 
360 	t rf e s j e n t o s s e s e n t a 
3600 	t rf e s m i l s eI s j e n t o s 
362 	t rf e s j e n t o s s e s e n t a i D o s 
37 	t rf eI n t a i s j e t e 
3700 	t rf e s m i l s e t e s j e n t o s 
3710 	t rf e s m i l s e t e s j e n t o s D j e s 
3714 	t rf e s m i l s e t e s j e n t o s k a t o rf s e 
3726 	t rf e s m i l s e t e s j e n t o s b eI n t i s eI s 
38 	t rf eI n t a i o tS o 
39 	t rf eI n t a i n w e b e 
39547 	t rf eI n t a i n w e b e m i l k i n j e n t o s k w a rf e n t a i s j e t e 
4 	k w a t rf o 
40 	k w a rf e n t a 
400 	k w a t rf o s j e n t o s 
4000 	k w a t rf o m i l 
40000 	k w a rf e n t a m i l 
400000 	k w a t rf o s j e n t o s m i l 
403 	k w a t rf o s j e n t o s t rf e s 
4041 	k w a t rf o m i l k w a rf e n t a i u n o 
41 	k w a rf e n t a i u n o 
4100 	k w a t rf o m i l s j e ng 
4139486 	k w a t rf o m i L o n e s s j e n t o t rf eI n t a i n w e b e m i l k w a t rf o s j e n t o s o tS e n t a i s eI s 
42 	k w a rf e n t a i D o s 
420 	k w a t rf o s j e n t o s b eI n t e 
421 	k w a t rf o s j e n t o s b eI n t i u n o 
43 	k w a rf e n t a i t rf e s 
4340 	k w a t rf o m i l t rf e s j e n t o s k w a rf e n t a 
435 	k w a t rf o s j e n t o s t rf eI n t a i s i ng k o 
43500 	k w a rf e n t a i t rf e s m i l k i n j e n t o s 
44 	k w a rf e n t a i k w a t rf o 
440 	k w a t rf o s j e n t o s k w a rf e n t a 
442 	k w a t rf o s j e n t o s k w a rf e n t a i D o s 
4422 	k w a t rf o m i l k w a t rf o s j e n t o s b eI n t i D o s 
446117 	k w a t rf o s j e n t o s k w a rf e n t a i s eI s m i l s j e n t o D j e s i s j e t e 
45 	k w a rf e n t a i s i ng k o 
450 	k w a t rf o s j e n t o s s i ng k w e n t a 
45000 	k w a rf e n t a i s i ng k o m i l 
456 	k w a t rf o s j e n t o s s i ng k w e n t a i s eI s 
46 	k w a rf e n t a i s eI s 
46000 	k w a rf e n t a i s eI s m i l 
47 	k w a rf e n t a i s j e t e 
471 	k w a t rf o s j e n t o s s e t e n t a i u n o 
474 	k w a t rf o s j e n t o s s e t e n t a i k w a t rf o 
48 	k w a rf e n t a i o tS o 
4800 	k w a t rf o m i l o tS o s j e n t o s 
4850 	k w a t rf o m i l o tS o s j e n t o s s i ng k w e n t a 
49 	k w a rf e n t a i n w e b e 
5 	s i ng k o 
50 	s i ng k w e n t a 
500 	k i n j e n t o s 
5000 	s i ng k o m i l 
50000 	s i ng k w e n t a m i l 
500000 	k i n j e n t o s m i l 
5000000 	s i ng k o m i L o n e s 
501 	k i n j e n t o s u n o 
502 	k i n j e n t o s D o s 
51 	s i ng k w e n t a i u n o 
51000 	s i ng k w e n t a i u n m i l 
53 	s i ng k w e n t a i t rf e s 
54 	s i ng k w e n t a i k w a t rf o 
55 	s i ng k w e n t a i s i ng k o 
550 	k i n j e n t o s s i ng k w e n t a 
55000 	s i ng k w e n t a i s i ng k o m i l 
5550 	s i ng k o m i l k i n j e n t o s s i ng k w e n t a 
57 	s i ng k w e n t a i s j e t e 
5767026 	s i ng k o m i L o n e s s e t e s j e n t o s s e s e n t a i s j e t e m i l b eI n t i s eI s 
577 	k i n j e n t o s s e t e n t a i s j e t e 
58 	s i ng k w e n t a i o tS o 
587 	k i n j e n t o s o tS e n t a i s j e t e 
587606 	k i n j e n t o s o tS e n t a i s j e t e m i l s eI s j e n t o s s eI s 
59 	s i ng k w e n t a i n w e b e 
594 	k i n j e n t o s n o b e n t a i k w a t rf o 
6 	s eI s 
60 	s e s e n t a 
600 	s eI s j e n t o s 
6000 	s eI s m i l 
60000 	s e s e n t a m i l 
600000 	s eI s j e n t o s m i l 
61 	s e s e n t a i u n o 
62 	s e s e n t a i D o s 
63 	s e s e n t a i t rf e s 
6348 	s eI s m i l t rf e s j e n t o s k w a rf e n t a i o tS o 
64 	s e s e n t a i k w a t rf o 
65 	s e s e n t a i s i ng k o 
65000 	s e s e n t a i s i ng k o m i l 
654 	s eI s j e n t o s s i ng k w e n t a i k w a t rf o 
656 	s eI s j e n t o s s i ng k w e n t a i s eI s 
66 	s e s e n t a i s eI s 
660 	s eI s j e n t o s s e s e n t a 
66000 	s e s e n t a i s eI s m i l 
6667 	s eI s m i l s eI s j e n t o s s e s e n t a i s j e t e 
67 	s e s e n t a i s j e t e 
68 	s e s e n t a i o tS o 
680 	s eI s j e n t o s o tS e n t a 
69 	s e s e n t a i n w e b e 
691018 	s eI s j e n t o s n o b e n t a i u n m i l D j e s i o tS o 
7 	s j e t e 
70 	s e t e n t a 
700 	s e t e s j e n t o s 
7000 	s j e t e m i l 
70000 	s e t e n t a m i l 
71 	s e t e n t a i u n o 
71058 	s e t e n t a i u n m i l s i ng k w e n t a i o tS o 
7140 	s j e t e m i l s j e n t o k w a rf e n t a 
72 	s e t e n t a i D o s 
732000 	s e t e s j e n t o s t rf eI n t a i D o s m i l 
7371 	s j e t e m i l t rf e s j e n t o s s e t e n t a i u n o 
7372 	s j e t e m i l t rf e s j e n t o s s e t e n t a i D o s 
74 	s e t e n t a i k w a t rf o 
7420000 	s j e t e m i L o n e s k w a t rf o s j e n t o s b eI n t e m i l 
75 	s e t e n t a i s i ng k o 
750000 	s e t e s j e n t o s s i ng k w e n t a m i l 
76 	s e t e n t a i s eI s 
761 	s e t e s j e n t o s s e s e n t a i u n o 
761000 	s e t e s j e n t o s s e s e n t a i u n m i l 
77095 	s e t e n t a i s j e t e m i l n o b e n t a i s i ng k o 
778 	s e t e s j e n t o s s e t e n t a i o tS o 
78 	s e t e n t a i o tS o 
79 	s e t e n t a i n w e b e 
795 	s e t e s j e n t o s n o b e n t a i s i ng k o 
8 	o tS o 
80 	o tS e n t a 
800 	o tS o s j e n t o s 
8000 	o tS o m i l 
800000 	o tS o s j e n t o s m i l 
81 	o tS e n t a i u n o 
82 	o tS e n t a i D o s 
8200 	o tS o m i l d o s j e n t o s 
8250 	o tS o m i l d o s j e n t o s s i ng k w e n t a 
83 	o tS e n t a i t rf e s 
84 	o tS e n t a i k w a t rf o 
840 	o tS o s j e n t o s k w a rf e n t a 
85 	o tS e n t a i s i ng k o 
85000 	o tS e n t a i s i ng k o m i l 
86 	o tS e n t a i s eI s 
8600 	o tS o m i l s eI s j e n t o s 
87 	o tS e n t a i s j e t e 
870 	o tS o s j e n t o s s e t e n t a 
88 	o tS e n t a i o tS o 
8884 	o tS o m i l o tS o s j e n t o s o tS e n t a i k w a t rf o 
895 	o tS o s j e n t o s n o b e n t a i s i ng k o 
9 	n w e b e 
90 	n o b e n t a 
900 	n o b e s j e n t o s 
9000 	n w e b e m i l 
900000 	n o b e s j e n t o s m i l 
91 	n o b e n t a i u n o 
92 	n o b e n t a i D o s 
93 	n o b e n t a i t rf e s 
94 	n o b e n t a i k w a t rf o 
94000 	n o b e n t a i k w a t rf o m i l 
95 	n o b e n t a i s i ng k o 
950 	n o b e s j e n t o s s i ng k w e n t a 
96 	n o b e n t a i s eI s 
960 	n o b e s j e n t o s s e s e n t a 
97 	n o b e n t a i s j e t e 
98 	n o b e n t a i o tS o 
982 	n o b e s j e n t o s o tS e n t a i D o s 
99 	n o b e n t a i n w e b e 
A 	a 
A+lvarez 	a+ l b a rf e s 
A+lvaro 	a+ l b a rf o 
A+ngeles 	a+ n x e l e s 
A+rabe 	a+ rf a b e 
A+rbitros 	a+ rf b i t rf o s 
A+vila 	a+ b i l a 
ABB 	a b e b e 
ABC 	a b e s e 
ABRE 	a b rf e 
ABURRIMIENTO 	a b u r i m j e n t o 
AC 	a s e 
ACAN 	a k a ng 
ACAN(2) 	a s e a e n e 
ACDI 	a k D i 
ACECHAN 	a s e tS a ng 
ACECHAN(2) 	a T e tS a n 
ACELERA 	a s e l e rf a 
ACLARACIO+N 	a k l a rf a s j o+ ng 
ACLARACIO+N(2) 	a k l a rf a T j o+ n 
ACNUR 	a k n u rf 
ACTIVIDAD 	a k t i b i D a d 
ACTO 	a k t o 
ACTUARIO 	a k t w a rf j o 
AD 	a D 
AD(2) 	a D e 
ADAPTARSE 	a D a p t a rf s e 
ADN 	a d e e n e 
ADUANA 	a D w a n a 
ADUANAS 	a D w a n a s 
ADVIERTE 	a D b j e rf t e 
ADVIRTIO+ 	a D b i rf t j o+ 
AEGES 	a e x e s 
AFAP 	a f a p 
AFAPS 	a f a p s 
AFGANISTAN 	a f G a n i s t a ng 
AFGANO 	a f G a n o 
AFITYC 	a f i t j k 
AFJP 	a e f e x o t a p e 
AFP 	a e f e p e 
AFSA 	a f s a 
AG 	a x e 
AGITA 	a x i t a 
AGN 	a x e e n e 
AGRESIVIDAD 	a G rf e s i b i D a D 
AGUARDA 	a G w a rf D a 
AHORA 	a o rf a 
AIRES 	aI rf e s 
AK 	a k a 
AL 	a l 
ALADI 	a l a D i 
ALARMA 	a l a rf m a 
ALCA 	a l k a 
ALENTADORES 	a l e n t a D o rf e s 
ALERTA 	a l e rf t a 
ALGUNAS 	a l G u n a s 
ALMENDRAS 	a l m e n d rf a s 
ALTO 	a l t o 
AM 	a e m e 
AMARGO 	a m a rf G o 
AMBAS 	a m b a s 
AMBIENTE 	a m b j e n t e 
AMENAZA 	a m e n a s a 
AMENAZA(2) 	a m e n a T a 
AMHON 	a m o ng 
AMMAN 	a m m a ng 
ANA 	a n a 
ANACON 	a n a k o ng 
ANALIZA 	a n a l i s a 
ANALIZA(2) 	a n a l i T a 
ANAPROF 	a n a p rf o f 
ANARQUIA 	a n a rf k i+ a 
ANC 	a e n e s e 
ANCAP 	a ng k a p 
ANCAP(2) 	a n k a p 
ANCON 	a ng k o ng 
ANDAH 	a n d a 
ANEP 	a n e p 
ANESTESIA 	a n e s t e s j a 
A+NGELES 	a+ n x e l e s 
ANIS 	a n i s 
ANIVERSARIO 	a n i b e rf s a rf j o 
ANPDH 	a e n e p e D e a tS e 
ANSA 	a ng s a 
ANSA(2) 	a n s a 
ANTEL 	a n t e l 
ANTIESTADOUNIDENSE 	a n t j e s t a D o u n i D e ng s e 
ANTIESTADOUNIDENSE(2) 	a n t j e s t a D o u n i D e n s e 
ANULA 	a n u l a 
ANUNCIO 	a n u ng s j o 
ANUNCIO(2) 	a n u n T j o 
AP 	a p e 
APB 	a p e b e 
APC 	a p e s e 
APEDE 	a p e D e 
APLACO 	a p l a k o 
APLAZADAS 	a p l a s a D a s 
APLAZADAS(2) 	a p l a T a D a s 
APLICAR 	a p l i k a rf 
APOGEO 	a p o x e o 
APORTAN 	a p o rf t a ng 
APSE 	a p s e 
AR 	a e r e 
ARA 	a rf a 
A+RABE 	a+ rf a b e 
ARAFAT 	a rf a f a t 
ARANCELARIO 	a rf a ng s e l a rf j o 
ARANCELARIO(2) 	a rf a n T e l a rf j o 
ARANCELES 	a rf a ng s e l e s 
ARANCELES(2) 	a rf a n T e l e s 
ARBITRARIEDAD 	a rf b i t rf a rf j e D a 
AREN 	a rf e ng 
ARENA 	a rf e n a 
ARGENTINA 	a rf x e n t i n a 
ARGENTINOS 	a rf x e n t i n o s 
ARI 	a rf i 
ARTESANO 	a rf t e s a n o 
ARTech 	a rf t e tS 
ASAMBLEA 	a s a m b l e a 
ASIA 	a s j a 
ASTALDI 	a s t a l d i 
ASTTEL 	a s t t e l 
ATAQUE 	a t a k e 
ATENDER 	a t e n d e rf 
ATMOP 	a t m o p 
ATO+MICAS 	a t o+ m i k a s 
ATRACTIVOS 	a t rf a k t i b o s 
ATV 	a t e b e 
AU 	aU 
AUTO 	aU t o 
AVIO+N 	a b j o+ ng 
AVIONES 	a b j o n e s 
AVIV 	a b i b 
AYER 	a L e rf 
AYER(2) 	aI e rf 
AYUDA 	a L u D a 
AYUDA(2) 	aI u D a 
AZU+CAR 	a s u+ k a rf 
AZU+CAR(2) 	a T u+ k a rf 
Abadia 	a b a D j a 
Abangares 	a b a ng g a rf e s 
Abascal 	a b a s k a l 
Abbas 	a b b a s 
Abdala+ 	a b D a l a+ 
Abdul 	a b D u l 
Abdullah 	a b D u L a 
Abel 	a b e l 
Abelino 	a b e l i n o 
Abella 	a b e L a 
Abiertamente 	a b j e rf t a m e n t e 
Abogado 	a b o G a D o 
Abogado(2) 	a b o G a o 
Abogados 	a b o G a D o s 
Abolicio+n 	a b o l i s j o+ ng 
Abolicio+n(2) 	a b o l i T j o+ n 
Abono 	a b o n o 
Abraham 	a b rf a a m 
Abrahan 	a b rf a a ng 
Abu 	a b u 
Abultar 	a b u l t a rf 
Abundan 	a b u n d a ng 
Aca+ 	a k a+ 
Acacias 	a k a s j a s 
Acacias(2) 	a k a T j a s 
Acade+mico 	a k a D e+ m i k o 
Academia 	a k a D e m j a 
Acapulco 	a k a p u l k o 
Accio+n 	a k s j o+ ng 
Accio+n(2) 	a s j o+ n 
Acciones 	a k s j o n e s 
Acechando 	a s e tS a n d o 
Acechando(2) 	a T e tS a n d o 
Acento 	a s e n t o 
Acento(2) 	a T e n t o 
Aceptacio+n 	a s e p t a s j o+ ng 
Aceptacio+n(2) 	a T e t a T j o+ n 
Aceptan 	a s e p t a ng 
Aceptan(2) 	a T e t a n 
Acepto+ 	a s e p t o+ 
Acepto+(2) 	a T e t o+ 
Acevedo 	a s e b e D o 
Acevedo(2) 	a T e b e D o 
Achille 	a tS i L e 
Achten 	a tS t e ng 
Acht 	a tS t 
Acisclo 	a s i s k l o 
Acisclo(2) 	a T i s k l o 
Aclara 	a k l a rf a 
Aclaro+ 	a k l a rf o+ 
Aco 	a k o 
Acogiendo 	a k o x j e n d o 
Acompan5amiento 	a k o m p a n~ a m j e n t o 
Acopi 	a k o p i 
Acopla+sticos 	a k o p l a+ s t i k o s 
Acordo+ 	a k o rf D o+ 
Acosta 	a k o s t a 
Act 	a k t 
Action 	a k t j o n 
Activa 	a k t i b a 
Activistas 	a k t i b i s t a s 
Actual 	a k t w a l 
Actualmente 	a k t w a l m e n t e 
Actuaremos 	a k t w a rf e m o s 
Acuerdan 	a k w e rf D a ng 
Acuerdo 	a k w e rf D o 
Acuicultura 	a k w i k u l t u rf a 
Acun5a 	a k u n~ a 
Acusacio+n 	a k u s a s j o+ ng 
Acusacio+n(2) 	a k u s a T j o+ n 
Acusan 	a k u s a ng 
Ad 	a 
Ada+n 	a D a+ ng 
Adalberto 	a D a l b e rf t o 
Adams 	a D a m s 
Addison 	a D D i s o ng 
Adecuado 	a D e k w a D o 
Adecuado(2) 	a D e k w a o 
Adelanta 	a D e l a n t a 
Adelantan 	a D e l a n t a ng 
Adelante 	a D e l a n t e 
Adema+s 	a D e m a+ s 
Adhesio+n 	a D e s j o+ ng 
Adiccio+n 	a D i k s j o+ ng 
Adiccio+n(2) 	a D i s j o+ n 
Adicionalmente 	a D i s j o n a l m e n t e 
Adicionalmente(2) 	a D i T j o n a l m e n t e 
Adilio 	a D i l j o 
Adjunto 	a D x u n t o 
Administracio+n 	a D m i n i s t rf a s j o+ ng 
Administracio+n(2) 	a D m i n i s t rf a T j o+ n 
Administradora 	a D m i n i s t rf a D o rf a 
Administradoras 	a D m i n i s t rf a D o rf a s 
Administrativa 	a D m i n i s t rf a t i b a 
Administrativos 	a D m i n i s t rf a t i b o s 
Admira 	a D m i rf a 
Admite 	a D m i t e 
Admiten 	a D m i t e ng 
Admitio+ 	a D m i t j o+ 
Adolescencia 	a D o l e s e ng s j a 
Adolf 	a D o l f 
Adolfo 	a D o l f o 
Adoptara+n 	a D o p t a rf a+ ng 
Adoptare+ 	a D o p t a rf e+ 
Adora 	a D o rf a 
Adquirida 	a D k i rf i D a 
Adquirio+ 	a D k i rf j o+ 
Adria+n 	a D rf j a+ ng 
Adria+tico 	a D rf j a+ t i k o 
Aduana 	a D w a n a 
Aduanas 	a D w a n a s 
